3.850000,8822,3302568-the-living-dead
3.920000,7449,3374819-the-devouring
4.080000,11268,963508.Cybele_s_Secret
3.600000,11103,3202905-the-book-of-lies
3.900000,11803,2208767.Palace_of_Mirrors
4.290000,12312,2324902.Vampire_Knight_Vol_5
3.930000,11429,3134684-just-breathe
3.720000,13044,3015764-indignation
4.210000,12065,2550219.The_Singing
3.540000,11090,2159007.Downtown_Owl
3.790000,13885,4162673-the-private-patient
4.370000,11238,2981807-mercury-s-war
4.220000,10843,3331431-noah
4.100000,9216,2575669-8-sandpiper-way
3.940000,5240,3223890-water-keep
3.720000,6403,3483356-in-the-land-of-invisible-women
4.140000,5085,3291844-an-exact-replica-of-a-figment-of-my-imagination
3.980000,8975,3329289-leven-thumps-and-the-wrath-of-ezra
3.790000,7518,2871526-one-bite-with-a-stranger
3.890000,6427,2182488.The_Whiskey_Rebels
4.120000,7366,2206960.Revelation
3.870000,6705,2643182-the-house-at-sugar-beach
3.920000,7630,2884758-masterpiece
3.960000,473791,4602032-dead-until-dark
4.050000,6362,3047320-sinner
4.430000,6483,1839178.Sunset
3.840000,6346,2238093.A_Giant_Problem
3.710000,6414,2940207-the-flying-troutmans
4.250000,6712,3026017-my-bonny-light-horseman
3.940000,5117,2752607-the-shape-of-mercy
3.900000,4097,3364462-the-hemingses-of-monticello
4.100000,4574,2762488-into-the-woods
4.100000,3777,2905719-hannah-s-dream
4.110000,7004,3346854-swan-peak
4.130000,4592,3086203-stargazer
3.800000,3571,2856645-bog-child
3.740000,3631,2942664-the-black-tower
3.610000,4344,3137694-the-smart-one-and-the-pretty-one
3.780000,6308,2502504.The_Comforts_of_a_Muddy_Saturday
4.150000,3973,3245249-whatever-it-takes
3.350000,4229,2927126-how-to-ditch-your-fairy
3.620000,2509,2330383.Revealers
3.380000,3653,3457715-bliss
4.130000,45521,2999475-jellicoe-road
3.910000,4788,3255666-a-bold-fresh-piece-of-humanity
3.820000,3479,2982466-nothing-to-be-frightened-of
3.420000,3409,3150936-hurry-down-sunshine
3.650000,4073,3288096-supreme-courtship
3.610000,84421,4725760-the-story-of-edgar-sawtelle
3.760000,1928,3488337-the-ayatollah-begs-to-differ
3.320000,1939,2321457.The_Irregulars
3.120000,3299,3334093-the-necklace
3.770000,2784,3261275-the-alcoholic
3.810000,2313,1781879.Fine_Just_the_Way_it_Is
3.760000,1138,3397706-state-by-state
